"Author","Confidence-Score-score","Detection Method","Detection Method ID","interaction","Interaction Type","Module_Edge_Color","name","Primary Interaction Type","Publication DB","Publication ID","selected","shared interaction","shared name","Source Database"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447897","physical association","-1","830 (1447897) 7169","physical association","pubmed","26496610","false","1447897","830 (1447897) 7169","psi-mi"
"McKinnell IW (2008)",,"affinity chromatography technology","MI:0004","514063","physical association","-1","11091 (514063) 5081","physical association","pubmed","18066051","false","514063","11091 (514063) 5081","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447898","physical association","-1","1017 (1447898) 7169","physical association","pubmed","26496610","false","1447898","1017 (1447898) 7169","psi-mi"
"McKinnell IW (2008)",,"affinity chromatography technology","MI:0004","514065","physical association","-1","9070 (514065) 5081","physical association","pubmed","18066051","false","514065","9070 (514065) 5081","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447899","physical association","-1","2316 (1447899) 7169","physical association","pubmed","26496610","false","1447899","2316 (1447899) 7169","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447900","physical association","-1","4627 (1447900) 7169","physical association","pubmed","26496610","false","1447900","4627 (1447900) 7169","psi-mi"
"Joung H (2014)",,"affinity chromatography technology","MI:0004","957518","physical association","-1","5987 (957518) 5081","physical association","pubmed","25025573","false","957518","5987 (957518) 5081","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447901","physical association","-1","5500 (1447901) 7169","physical association","pubmed","26496610","false","1447901","5500 (1447901) 7169","psi-mi"
"Joung H (2014)",,"affinity chromatography technology","MI:0004","957519","physical association","-1","5081 (957519) 5987","physical association","pubmed","25025573","false","957519","5081 (957519) 5987","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447902","physical association","-1","5595 (1447902) 7169","physical association","pubmed","26496610","false","1447902","5595 (1447902) 7169","psi-mi"
"Joung H (2014)",,"affinity chromatography technology","MI:0004","957521","physical association","-1","4654 (957521) 5081","physical association","pubmed","25025573","false","957521","4654 (957521) 5081","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447903","physical association","-1","8826 (1447903) 7169","physical association","pubmed","26496610","false","1447903","8826 (1447903) 7169","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447904","physical association","-1","9260 (1447904) 7169","physical association","pubmed","26496610","false","1447904","9260 (1447904) 7169","psi-mi"
"Gonzalez N (2016)",,"enzymatic study","MI:0415","1527855","direct interaction","-1","1457 (1527855) 5081","direct interaction","pubmed","27144531","false","1527855","1457 (1527855) 5081","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447905","physical association","-1","11346 (1447905) 7169","physical association","pubmed","26496610","false","1447905","11346 (1447905) 7169","psi-mi"
"Huttlin EL (2015)","0.999999653","affinity chromatography technology","MI:0004","1189493","physical association","-1","10159 (1189493) 203547","physical association","pubmed","26186194","false","1189493","10159 (1189493) 203547","psi-mi"
"Bustos F (2015)",,"affinity chromatography technology","MI:0004","1508640","physical association","-1","5081 (1508640) 4734","physical association","pubmed","26304770","false","1508640","5081 (1508640) 4734","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447906","physical association","-1","54443 (1447906) 7169","physical association","pubmed","26496610","false","1447906","54443 (1447906) 7169","psi-mi"
"Huttlin EL (2015)","0.999704301","affinity chromatography technology","MI:0004","1190929","physical association","-1","1896 (1190929) 203547","physical association","pubmed","26186194","false","1190929","1896 (1190929) 203547","psi-mi"
"Bustos F (2015)",,"pull down","MI:0096","1508641","direct interaction","-1","5081 (1508641) 4734","direct interaction","pubmed","26304770","false","1508641","5081 (1508641) 4734","psi-mi"
"Bustos F (2015)",,"enzymatic study","MI:0415","1508642","direct interaction","-1","4734 (1508642) 5081","direct interaction","pubmed","26304770","false","1508642","4734 (1508642) 5081","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447907","physical association","-1","55930 (1447907) 7169","physical association","pubmed","26496610","false","1447907","55930 (1447907) 7169","psi-mi"
"Ramjaun AR (1999)",,"pull down","MI:0096","287764","direct interaction","-1","274 (287764) 274","direct interaction","pubmed","10391921","false","287764","274 (287764) 274","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447908","physical association","-1","80179 (1447908) 7169","physical association","pubmed","26496610","false","1447908","80179 (1447908) 7169","psi-mi"
"Hein MY (2015)",,"affinity chromatography technology","MI:0004","1447909","physical association","-1","399687 (1447909) 7169","physical association","pubmed","26496610","false","1447909","399687 (1447909) 7169","psi-mi"
"Witt SH (2005)",,"two hybrid","MI:0018","465404","direct interaction","-1","84676 (465404) 7136","direct interaction","pubmed","15967462","false","465404","84676 (465404) 7136","psi-mi"
"Wan C (2015)","0.122320043","biochemical","MI:0401","1268229","colocalization","-1","7169 (1268229) 5711","colocalization","pubmed","26344197","false","1268229","7169 (1268229) 5711","psi-mi"
"Gupta GD (2015)",,"bioid","MI:1313","1430735","physical association","-1","79867 (1430735) 203547","physical association","pubmed","26638075","false","1430735","79867 (1430735) 203547","psi-mi"
"Gupta GD (2015)",,"bioid","MI:1313","1431026","physical association","-1","26123 (1431026) 203547","physical association","pubmed","26638075","false","1431026","26123 (1431026) 203547","psi-mi"
"Albers M (2005)",,"two hybrid","MI:0018","574325","direct interaction","-1","6096 (574325) 7136","direct interaction","pubmed","15604093","false","574325","6096 (574325) 7136","psi-mi"
"Gupta GD (2015)",,"bioid","MI:1313","1433916","physical association","-1","132884 (1433916) 203547","physical association","pubmed","26638075","false","1433916","132884 (1433916) 203547","psi-mi"
"Gupta GD (2015)",,"bioid","MI:1313","1434749","physical association","-1","200728 (1434749) 203547","physical association","pubmed","26638075","false","1434749","200728 (1434749) 203547","psi-mi"
"Albers M (2005)",,"two hybrid","MI:0018","574401","direct interaction","-1","3174 (574401) 7136","direct interaction","pubmed","15604093","false","574401","3174 (574401) 7136","psi-mi"
"Gupta GD (2015)",,"bioid","MI:1313","1434973","physical association","-1","51259 (1434973) 203547","physical association","pubmed","26638075","false","1434973","51259 (1434973) 203547","psi-mi"
"Albers M (2005)",,"two hybrid","MI:0018","574438","direct interaction","-1","2101 (574438) 7136","direct interaction","pubmed","15604093","false","574438","2101 (574438) 7136","psi-mi"
"Gupta GD (2015)",,"bioid","MI:1313","1435088","physical association","-1","91147 (1435088) 203547","physical association","pubmed","26638075","false","1435088","91147 (1435088) 203547","psi-mi"
"Grand RJ (1982)",,"x-ray crystallography","MI:0114","314991","association","-1","7134 (314991) 7136","association","pubmed","7103951","false","314991","7134 (314991) 7136","psi-mi"
"Bennett EJ (2010)",,"affinity chromatography technology","MI:0004","688917","physical association","-1","8454 (688917) 4621","physical association","pubmed","21145461","false","688917","8454 (688917) 4621","psi-mi"
"Lehner B (2004)",,"two hybrid","MI:0018","905581","direct interaction","-1","26019 (905581) 7136","direct interaction","pubmed","15231747","false","905581","26019 (905581) 7136","psi-mi"
"Perez-Hernandez D (2013)",,"affinity chromatography technology","MI:0004","861391","physical association","-1","93185 (861391) 4621","physical association","pubmed","23463506","false","861391","93185 (861391) 4621","psi-mi"
"Perez-Hernandez D (2013)",,"affinity chromatography technology","MI:0004","861545","physical association","-1","3383 (861545) 4621","physical association","pubmed","23463506","false","861545","3383 (861545) 4621","psi-mi"
"Huttlin EL (2015)","0.999977007","affinity chromatography technology","MI:0004","1193257","physical association","-1","54916 (1193257) 4621","physical association","pubmed","26186194","false","1193257","54916 (1193257) 4621","psi-mi"
"Huttlin EL (2015)","0.999505911","affinity chromatography technology","MI:0004","1179963","physical association","-1","55143 (1179963) 4621","physical association","pubmed","26186194","false","1179963","55143 (1179963) 4621","psi-mi"
"Wan C (2015)","0.200431068","biochemical","MI:0401","1273531","colocalization","-1","515 (1273531) 7169","colocalization","pubmed","26344197","false","1273531","515 (1273531) 7169","psi-mi"
"Huttlin EL (2015)","0.999989825","affinity chromatography technology","MI:0004","1180343","physical association","-1","6495 (1180343) 4621","physical association","pubmed","26186194","false","1180343","6495 (1180343) 4621","psi-mi"
"Wan C (2015)","0.075683487","biochemical","MI:0401","1273532","colocalization","-1","10134 (1273532) 7169","colocalization","pubmed","26344197","false","1273532","10134 (1273532) 7169","psi-mi"
"Witt CC (2008)",,"two hybrid","MI:0018","1022818","direct interaction","-1","84676 (1022818) 7136","direct interaction","pubmed","18157088","false","1022818","84676 (1022818) 7136","psi-mi"
"Wan C (2015)","0.076294321","biochemical","MI:0401","1273533","colocalization","-1","832 (1273533) 7169","colocalization","pubmed","26344197","false","1273533","832 (1273533) 7169","psi-mi"
"Witt CC (2008)",,"two hybrid","MI:0018","1022819","direct interaction","-1","84675 (1022819) 7136","direct interaction","pubmed","18157088","false","1022819","84675 (1022819) 7136","psi-mi"
"Wan C (2015)","0.080226499","biochemical","MI:0401","1273534","colocalization","-1","55749 (1273534) 7169","colocalization","pubmed","26344197","false","1273534","55749 (1273534) 7169","psi-mi"
"Wan C (2015)","0.158419937","biochemical","MI:0401","1265086","colocalization","-1","7135 (1265086) 4621","colocalization","pubmed","26344197","false","1265086","7135 (1265086) 4621","psi-mi"
"Wan C (2015)","0.342036679","biochemical","MI:0401","1273535","colocalization","-1","1327 (1273535) 7169","colocalization","pubmed","26344197","false","1273535","1327 (1273535) 7169","psi-mi"
"Huttlin EL (2017)","0.764885791","affinity chromatography technology","MI:0004","2271631","physical association","-1","7136 (2271631) 23411","physical association","pubmed","28514442","false","2271631","7136 (2271631) 23411","psi-mi"
"Wan C (2015)","0.999997731","biochemical","MI:0401","1273537","colocalization","-1","4624 (1273537) 7169","colocalization","pubmed","26344197","false","1273537","4624 (1273537) 7169","psi-mi"
"Huttlin EL (2017)","0.895772821","affinity chromatography technology","MI:0004","2259340","physical association","-1","7136 (2259340) 7088","physical association","pubmed","28514442","false","2259340","7136 (2259340) 7088","psi-mi"
"Wan C (2015)","0.070771383","biochemical","MI:0401","1273539","colocalization","-1","4637 (1273539) 7169","colocalization","pubmed","26344197","false","1273539","4637 (1273539) 7169","psi-mi"
"Huttlin EL (2017)","0.999999993","affinity chromatography technology","MI:0004","2217460","physical association","-1","7090 (2217460) 4621","physical association","pubmed","28514442","false","2217460","7090 (2217460) 4621","psi-mi"
"Wan C (2015)","0.192883982","biochemical","MI:0401","1273540","colocalization","-1","4716 (1273540) 7169","colocalization","pubmed","26344197","false","1273540","4716 (1273540) 7169","psi-mi"
"Huttlin EL (2017)","0.999999991","affinity chromatography technology","MI:0004","2217567","physical association","-1","7136 (2217567) 4925","physical association","pubmed","28514442","false","2217567","7136 (2217567) 4925","psi-mi"
"Wan C (2015)","0.090309215","biochemical","MI:0401","1273541","colocalization","-1","22950 (1273541) 7169","colocalization","pubmed","26344197","false","1273541","22950 (1273541) 7169","psi-mi"
"Huttlin EL (2017)","0.999999922","affinity chromatography technology","MI:0004","2218421","physical association","-1","3091 (2218421) 4621","physical association","pubmed","28514442","false","2218421","3091 (2218421) 4621","psi-mi"
"Wan C (2015)","0.134710898","biochemical","MI:0401","1273542","colocalization","-1","6741 (1273542) 7169","colocalization","pubmed","26344197","false","1273542","6741 (1273542) 7169","psi-mi"
"Huttlin EL (2017)","0.995455479","affinity chromatography technology","MI:0004","2237582","physical association","-1","7136 (2237582) 7091","physical association","pubmed","28514442","false","2237582","7136 (2237582) 7091","psi-mi"
"Wan C (2015)","0.154693197","biochemical","MI:0401","1273543","colocalization","-1","3925 (1273543) 7169","colocalization","pubmed","26344197","false","1273543","3925 (1273543) 7169","psi-mi"
"Huttlin EL (2017)","0.999979924","affinity chromatography technology","MI:0004","2224023","physical association","-1","6495 (2224023) 4621","physical association","pubmed","28514442","false","2224023","6495 (2224023) 4621","psi-mi"
"Huttlin EL (2017)","0.999955511","affinity chromatography technology","MI:0004","2225266","physical association","-1","54916 (2225266) 4621","physical association","pubmed","28514442","false","2225266","54916 (2225266) 4621","psi-mi"
"Wan C (2015)","0.079936","biochemical","MI:0401","1273544","colocalization","-1","10923 (1273544) 7169","colocalization","pubmed","26344197","false","1273544","10923 (1273544) 7169","psi-mi"
"Wan C (2015)","0.927431991","biochemical","MI:0401","1273545","colocalization","-1","7135 (1273545) 7169","colocalization","pubmed","26344197","false","1273545","7135 (1273545) 7169","psi-mi"
"Huttlin EL (2017)","0.999802384","affinity chromatography technology","MI:0004","2228122","physical association","-1","7136 (2228122) 130132","physical association","pubmed","28514442","false","2228122","7136 (2228122) 130132","psi-mi"
"Wan C (2015)","0.089678308","biochemical","MI:0401","1273546","colocalization","-1","7385 (1273546) 7169","colocalization","pubmed","26344197","false","1273546","7385 (1273546) 7169","psi-mi"
"Huttlin EL (2017)","0.999760359","affinity chromatography technology","MI:0004","2228569","physical association","-1","7136 (2228569) 9903","physical association","pubmed","28514442","false","2228569","7136 (2228569) 9903","psi-mi"
"Chuang JY (2012)",,"affinity chromatography technology","MI:0004","672507","physical association","-1","6667 (672507) 7169","physical association","pubmed","22266860","false","672507","6667 (672507) 7169","psi-mi"
"Huttlin EL (2017)","0.999569486","affinity chromatography technology","MI:0004","2229945","physical association","-1","55143 (2229945) 4621","physical association","pubmed","28514442","false","2229945","55143 (2229945) 4621","psi-mi"
"Huttlin EL (2017)","0.787771668","affinity chromatography technology","MI:0004","2269742","physical association","-1","29106 (2269742) 7169","physical association","pubmed","28514442","false","2269742","29106 (2269742) 7169","psi-mi"
"Havugimana PC (2012)","0.915","biochemical","MI:0401","747553","colocalization","-1","4632 (747553) 4735","colocalization","pubmed","22939629","false","747553","4632 (747553) 4735","psi-mi"
"Huttlin EL (2017)","0.880537227","affinity chromatography technology","MI:0004","2261065","physical association","-1","79841 (2261065) 7169","physical association","pubmed","28514442","false","2261065","79841 (2261065) 7169","psi-mi"
"Havugimana PC (2012)","0.803","biochemical","MI:0401","751123","colocalization","-1","4632 (751123) 57122","colocalization","pubmed","22939629","false","751123","4632 (751123) 57122","psi-mi"
"Huttlin EL (2017)","0.873605631","affinity chromatography technology","MI:0004","2261787","physical association","-1","55244 (2261787) 7169","physical association","pubmed","28514442","false","2261787","55244 (2261787) 7169","psi-mi"
"Havugimana PC (2012)","0.79","biochemical","MI:0401","751871","colocalization","-1","4632 (751871) 10054","colocalization","pubmed","22939629","false","751871","4632 (751871) 10054","psi-mi"
"Huttlin EL (2017)","0.873605631","affinity chromatography technology","MI:0004","2261788","physical association","-1","54432 (2261788) 7169","physical association","pubmed","28514442","false","2261788","54432 (2261788) 7169","psi-mi"
"Olah J (2011)",,"pull down","MI:0096","739982","direct interaction","-1","4632 (739982) 351","direct interaction","pubmed","21832049","false","739982","4632 (739982) 351","psi-mi"
"Huttlin EL (2017)","0.871418344","affinity chromatography technology","MI:0004","2262012","physical association","-1","10611 (2262012) 7169","physical association","pubmed","28514442","false","2262012","10611 (2262012) 7169","psi-mi"
"Humphries JD (2009)",,"affinity chromatography technology","MI:0004","826450","physical association","-1","7412 (826450) 4632","physical association","pubmed","19738201","false","826450","7412 (826450) 4632","psi-mi"
"Huttlin EL (2017)","0.864328839","affinity chromatography technology","MI:0004","2262711","physical association","-1","10142 (2262711) 7169","physical association","pubmed","28514442","false","2262711","10142 (2262711) 7169","psi-mi"
"Humphries JD (2009)",,"affinity chromatography technology","MI:0004","826479","physical association","-1","2335 (826479) 4632","physical association","pubmed","19738201","false","826479","2335 (826479) 4632","psi-mi"
"Huttlin EL (2017)","0.999999996","affinity chromatography technology","MI:0004","2217320","physical association","-1","7168 (2217320) 7169","physical association","pubmed","28514442","false","2217320","7168 (2217320) 7169","psi-mi"
"Huttlin EL (2015)","0.987830685","affinity chromatography technology","MI:0004","1193263","physical association","-1","54916 (1193263) 4632","physical association","pubmed","26186194","false","1193263","54916 (1193263) 4632","psi-mi"
"Huttlin EL (2017)","0.994010195","affinity chromatography technology","MI:0004","2238791","physical association","-1","153328 (2238791) 7169","physical association","pubmed","28514442","false","2238791","153328 (2238791) 7169","psi-mi"
"Pathmanathan S (2008)",,"unspecified method","MI:0686","1103407","direct interaction","-1","4632 (1103407) 8826","direct interaction","pubmed","18587628","false","1103407","4632 (1103407) 8826","psi-mi"
"Huttlin EL (2017)","0.999516323","affinity chromatography technology","MI:0004","2230248","physical association","-1","10969 (2230248) 7169","physical association","pubmed","28514442","false","2230248","10969 (2230248) 7169","psi-mi"
"Huttlin EL (2017)","0.983344452","affinity chromatography technology","MI:0004","2243972","physical association","-1","58500 (2243972) 7169","physical association","pubmed","28514442","false","2243972","58500 (2243972) 7169","psi-mi"
"Zhang X (2017)",,"pull down","MI:0096","2297054","direct interaction","-1","7316 (2297054) 4632","direct interaction","pubmed","28190767","false","2297054","7316 (2297054) 4632","psi-mi"
"Huttlin EL (2017)","0.997513101","affinity chromatography technology","MI:0004","2235226","physical association","-1","7090 (2235226) 4632","physical association","pubmed","28514442","false","2235226","7090 (2235226) 4632","psi-mi"
"Huttlin EL (2017)","0.981977304","affinity chromatography technology","MI:0004","2244384","physical association","-1","7570 (2244384) 7169","physical association","pubmed","28514442","false","2244384","7570 (2244384) 7169","psi-mi"
"Huttlin EL (2017)","0.978943081","affinity chromatography technology","MI:0004","2245330","physical association","-1","3091 (2245330) 4632","physical association","pubmed","28514442","false","2245330","3091 (2245330) 4632","psi-mi"
"Huttlin EL (2017)","0.980748488","affinity chromatography technology","MI:0004","2244779","physical association","-1","3010 (2244779) 7169","physical association","pubmed","28514442","false","2244779","3010 (2244779) 7169","psi-mi"
"Elliott PR (2016)",,"affinity chromatography technology","MI:0004","2347133","physical association","-1","1540 (2347133) 4632","physical association","pubmed","27591049","false","2347133","1540 (2347133) 4632","psi-mi"
"Huttlin EL (2017)","0.979945836","affinity chromatography technology","MI:0004","2245028","physical association","-1","4109 (2245028) 7169","physical association","pubmed","28514442","false","2245028","4109 (2245028) 7169","psi-mi"
"Malty RH (2017)","8.27899E-4","affinity chromatography technology","MI:0004","2360944","physical association","-1","1355 (2360944) 4632","physical association","pubmed","29128334","false","2360944","1355 (2360944) 4632","psi-mi"
"Huttlin EL (2017)","0.978803275","affinity chromatography technology","MI:0004","2245380","physical association","-1","58516 (2245380) 7169","physical association","pubmed","28514442","false","2245380","58516 (2245380) 7169","psi-mi"
"Huttlin EL (2017)","0.971646573","affinity chromatography technology","MI:0004","2247297","physical association","-1","85016 (2247297) 7169","physical association","pubmed","28514442","false","2247297","85016 (2247297) 7169","psi-mi"
"Malty RH (2017)","0.00113629","affinity chromatography technology","MI:0004","2361367","physical association","-1","1743 (2361367) 4632","physical association","pubmed","29128334","false","2361367","1743 (2361367) 4632","psi-mi"
"Huttlin EL (2017)","0.967586478","affinity chromatography technology","MI:0004","2248256","physical association","-1","208 (2248256) 7169","physical association","pubmed","28514442","false","2248256","208 (2248256) 7169","psi-mi"
"Malty RH (2017)","0.00139655","affinity chromatography technology","MI:0004","2361729","physical association","-1","3028 (2361729) 4632","physical association","pubmed","29128334","false","2361729","3028 (2361729) 4632","psi-mi"
"Huttlin EL (2017)","0.992822398","affinity chromatography technology","MI:0004","2239600","physical association","-1","10469 (2239600) 7169","physical association","pubmed","28514442","false","2239600","10469 (2239600) 7169","psi-mi"
"Huttlin EL (2017)","0.990210142","affinity chromatography technology","MI:0004","2241096","physical association","-1","7703 (2241096) 7169","physical association","pubmed","28514442","false","2241096","7703 (2241096) 7169","psi-mi"
"Huttlin EL (2017)","0.989012036","affinity chromatography technology","MI:0004","2241687","physical association","-1","148523 (2241687) 7169","physical association","pubmed","28514442","false","2241687","148523 (2241687) 7169","psi-mi"
"Huttlin EL (2017)","0.987614283","affinity chromatography technology","MI:0004","2242316","physical association","-1","554235 (2242316) 7169","physical association","pubmed","28514442","false","2242316","554235 (2242316) 7169","psi-mi"
"Huttlin EL (2017)","0.987423707","affinity chromatography technology","MI:0004","2242416","physical association","-1","10878 (2242416) 7169","physical association","pubmed","28514442","false","2242416","10878 (2242416) 7169","psi-mi"
"Huttlin EL (2017)","0.986078834","affinity chromatography technology","MI:0004","2242983","physical association","-1","374882 (2242983) 7169","physical association","pubmed","28514442","false","2242983","374882 (2242983) 7169","psi-mi"
"Huttlin EL (2017)","0.985916976","affinity chromatography technology","MI:0004","2243056","physical association","-1","8851 (2243056) 7169","physical association","pubmed","28514442","false","2243056","8851 (2243056) 7169","psi-mi"
"Huttlin EL (2017)","0.984969731","affinity chromatography technology","MI:0004","2243420","physical association","-1","51322 (2243420) 7169","physical association","pubmed","28514442","false","2243420","51322 (2243420) 7169","psi-mi"
"Huttlin EL (2017)","0.957443823","affinity chromatography technology","MI:0004","2250422","physical association","-1","25912 (2250422) 7169","physical association","pubmed","28514442","false","2250422","25912 (2250422) 7169","psi-mi"
"Huttlin EL (2017)","0.953895198","affinity chromatography technology","MI:0004","2251123","physical association","-1","619279 (2251123) 7169","physical association","pubmed","28514442","false","2251123","619279 (2251123) 7169","psi-mi"
"Huttlin EL (2017)","0.949452359","affinity chromatography technology","MI:0004","2251895","physical association","-1","80031 (2251895) 7169","physical association","pubmed","28514442","false","2251895","80031 (2251895) 7169","psi-mi"
"Huttlin EL (2017)","0.949174167","affinity chromatography technology","MI:0004","2251947","physical association","-1","84896 (2251947) 7169","physical association","pubmed","28514442","false","2251947","84896 (2251947) 7169","psi-mi"
"Huttlin EL (2017)","0.947956851","affinity chromatography technology","MI:0004","2252155","physical association","-1","50484 (2252155) 7169","physical association","pubmed","28514442","false","2252155","50484 (2252155) 7169","psi-mi"
"Abdelmohsen K (2009)",,"affinity chromatography technology","MI:0004","663424","physical association","-1","1994 (663424) 203547","physical association","pubmed","19322201","false","663424","1994 (663424) 203547","psi-mi"
"Huttlin EL (2017)","0.99999589","affinity chromatography technology","MI:0004","2221916","physical association","-1","10159 (2221916) 203547","physical association","pubmed","28514442","false","2221916","10159 (2221916) 203547","psi-mi"
"Huttlin EL (2017)","0.947566986","affinity chromatography technology","MI:0004","2252215","physical association","-1","654346 (2252215) 7169","physical association","pubmed","28514442","false","2252215","654346 (2252215) 7169","psi-mi"
"Huttlin EL (2017)","0.999990941","affinity chromatography technology","MI:0004","2222915","physical association","-1","90231 (2222915) 203547","physical association","pubmed","28514442","false","2222915","90231 (2222915) 203547","psi-mi"
"Huttlin EL (2017)","0.943315769","affinity chromatography technology","MI:0004","2252997","physical association","-1","284067 (2252997) 7169","physical association","pubmed","28514442","false","2252997","284067 (2252997) 7169","psi-mi"
"Rolland T (2014)",,"two hybrid","MI:0018","1036622","direct interaction","-1","88 (1036622) 88","direct interaction","pubmed","25416956","false","1036622","88 (1036622) 88","psi-mi"
"Huttlin EL (2017)","0.997894772","affinity chromatography technology","MI:0004","2234647","physical association","-1","527 (2234647) 203547","physical association","pubmed","28514442","false","2234647","527 (2234647) 203547","psi-mi"
"Huttlin EL (2017)","0.939069045","affinity chromatography technology","MI:0004","2253680","physical association","-1","219736 (2253680) 7169","physical association","pubmed","28514442","false","2253680","219736 (2253680) 7169","psi-mi"
"Huttlin EL (2017)","0.997681661","affinity chromatography technology","MI:0004","2234973","physical association","-1","8992 (2234973) 203547","physical association","pubmed","28514442","false","2234973","8992 (2234973) 203547","psi-mi"
"Huttlin EL (2017)","0.938771966","affinity chromatography technology","MI:0004","2253721","physical association","-1","282809 (2253721) 7169","physical association","pubmed","28514442","false","2253721","282809 (2253721) 7169","psi-mi"
"Huttlin EL (2017)","0.996643916","affinity chromatography technology","MI:0004","2236323","physical association","-1","1896 (2236323) 203547","physical association","pubmed","28514442","false","2236323","1896 (2236323) 203547","psi-mi"
"Huttlin EL (2017)","0.999936914","affinity chromatography technology","MI:0004","2225907","physical association","-1","9114 (2225907) 203547","physical association","pubmed","28514442","false","2225907","9114 (2225907) 203547","psi-mi"
"Huttlin EL (2017)","0.936804197","affinity chromatography technology","MI:0004","2254012","physical association","-1","9262 (2254012) 7169","physical association","pubmed","28514442","false","2254012","9262 (2254012) 7169","psi-mi"
"Huttlin EL (2017)","0.999932317","affinity chromatography technology","MI:0004","2226034","physical association","-1","245972 (2226034) 203547","physical association","pubmed","28514442","false","2226034","245972 (2226034) 203547","psi-mi"
"Huttlin EL (2017)","0.936266458","affinity chromatography technology","MI:0004","2254081","physical association","-1","3038 (2254081) 7169","physical association","pubmed","28514442","false","2254081","3038 (2254081) 7169","psi-mi"
"Huttlin EL (2017)","0.999893716","affinity chromatography technology","MI:0004","2226869","physical association","-1","147007 (2226869) 203547","physical association","pubmed","28514442","false","2226869","147007 (2226869) 203547","psi-mi"
"Huttlin EL (2017)","0.914425622","affinity chromatography technology","MI:0004","2257126","physical association","-1","102724631 (2257126) 7169","physical association","pubmed","28514442","false","2257126","102724631 (2257126) 7169","psi-mi"
"Huttlin EL (2017)","0.999805051","affinity chromatography technology","MI:0004","2228096","physical association","-1","23545 (2228096) 203547","physical association","pubmed","28514442","false","2228096","23545 (2228096) 203547","psi-mi"
"Huttlin EL (2017)","0.911972239","affinity chromatography technology","MI:0004","2257429","physical association","-1","23221 (2257429) 7169","physical association","pubmed","28514442","false","2257429","23221 (2257429) 7169","psi-mi"
"Huttlin EL (2017)","0.90927491","affinity chromatography technology","MI:0004","2257761","physical association","-1","4735 (2257761) 7169","physical association","pubmed","28514442","false","2257761","4735 (2257761) 7169","psi-mi"
"Huttlin EL (2017)","0.99841507","affinity chromatography technology","MI:0004","2233703","physical association","-1","29119 (2233703) 203547","physical association","pubmed","28514442","false","2233703","29119 (2233703) 203547","psi-mi"
"Huttlin EL (2017)","0.906038662","affinity chromatography technology","MI:0004","2258122","physical association","-1","284058 (2258122) 7169","physical association","pubmed","28514442","false","2258122","284058 (2258122) 7169","psi-mi"
"Huttlin EL (2017)","0.99291368","affinity chromatography technology","MI:0004","2239548","physical association","-1","719 (2239548) 203547","physical association","pubmed","28514442","false","2239548","719 (2239548) 203547","psi-mi"
"Huttlin EL (2017)","0.903355109","affinity chromatography technology","MI:0004","2258424","physical association","-1","79983 (2258424) 7169","physical association","pubmed","28514442","false","2258424","79983 (2258424) 7169","psi-mi"
"Huttlin EL (2017)","0.849087416","affinity chromatography technology","MI:0004","2264235","physical association","-1","22981 (2264235) 7169","physical association","pubmed","28514442","false","2264235","22981 (2264235) 7169","psi-mi"
"Huttlin EL (2017)","0.849087416","affinity chromatography technology","MI:0004","2264236","physical association","-1","11142 (2264236) 7169","physical association","pubmed","28514442","false","2264236","11142 (2264236) 7169","psi-mi"
"Huttlin EL (2017)","0.82456821","affinity chromatography technology","MI:0004","2266502","physical association","-1","79714 (2266502) 7169","physical association","pubmed","28514442","false","2266502","79714 (2266502) 7169","psi-mi"
"Ewing RM (2007)","0.39","affinity chromatography technology","MI:0004","242120","physical association","-1","4163 (242120) 7170","physical association","pubmed","17353931","false","242120","4163 (242120) 7170","psi-mi"
"Ewing RM (2007)","0.3","affinity chromatography technology","MI:0004","243290","physical association","-1","1974 (243290) 7170","physical association","pubmed","17353931","false","243290","1974 (243290) 7170","psi-mi"
"Lunardi A (2010)",,"affinity chromatography technology","MI:0004","438330","physical association","-1","7161 (438330) 7170","physical association","pubmed","20308539","false","438330","7161 (438330) 7170","psi-mi"
"Panigrahi AK (2011)",,"affinity chromatography technology","MI:0004","612132","physical association","-1","5885 (612132) 7170","physical association","pubmed","22145905","false","612132","5885 (612132) 7170","psi-mi"
"Vinayagam A (2011)",,"two hybrid","MI:0018","601348","direct interaction","-1","4751 (601348) 7170","direct interaction","pubmed","21900206","false","601348","4751 (601348) 7170","psi-mi"
"Rual JF (2005)",,"two hybrid","MI:0018","121886","direct interaction","-1","7170 (121886) 29844","direct interaction","pubmed","16189514","false","121886","7170 (121886) 29844","psi-mi"
"Rual JF (2005)",,"two hybrid","MI:0018","120681","direct interaction","-1","7170 (120681) 79036","direct interaction","pubmed","16189514","false","120681","7170 (120681) 79036","psi-mi"
